index,sales
792,6653.6826171875
793,8011.16015625
794,5921.8720703125
795,3457.619384765625
796,0.0
797,5710.3193359375
798,5600.919921875
799,5174.212890625
800,5948.8154296875
801,4829.8759765625
802,3487.9375
803,0.0
804,9421.06640625
805,7688.70361328125
806,6755.4248046875
807,7731.4755859375
808,5837.40771484375
809,3231.285888671875
810,0.0
811,5935.93212890625
812,5348.57666015625
813,4821.30810546875
814,5371.85986328125
815,5077.12060546875
816,3487.9375
817,0.0
818,7764.05224609375
819,7286.65478515625
820,8343.5166015625
821,8462.876953125
822,0.0
823,4342.2890625
824,0.0
825,0.0
826,6444.60791015625
827,5428.291015625
828,5992.751953125
829,5249.0400390625
830,3407.15966796875
831,0.0
832,9138.111328125
833,7776.72314453125
834,6448.93798828125
835,7942.26953125
836,5647.11767578125
837,3362.72509765625
838,0.0
839,5902.45751953125
840,6045.30615234375
841,4551.646484375
842,5978.51806640625
843,4788.91162109375
844,3407.15966796875
845,0.0
846,9438.2314453125
847,8560.2578125
848,7298.294921875
849,8361.41796875
850,0.0
851,4566.71630859375
852,0.0
853,9466.4189453125
854,6857.30712890625
855,7176.07080078125
856,7640.8046875
857,6344.640625
858,3513.9375
859,0.0
860,5822.849609375
861,6074.6181640625
862,6183.67724609375
863,0.0
864,5713.6318359375
865,3135.624755859375
866,0.0
867,8758.259765625
868,7113.2568359375
869,6885.51513671875
870,7696.966796875
871,6136.23681640625
872,3524.16748046875
873,0.0
874,0.0
875,6404.0087890625
876,5508.1845703125
877,5995.65185546875
878,6010.67333984375
879,3534.025634765625
880,0.0
881,9563.783203125
882,7791.98876953125
883,6836.74853515625
884,8465.0029296875
885,6140.33642578125
886,3519.72021484375
887,0.0
888,6117.59423828125
889,5496.71630859375
890,5293.6748046875
891,5966.30859375
892,5399.06103515625
893,3556.8271484375
894,0.0
895,9091.2060546875
896,8397.748046875
897,6971.1025390625
898,7335.84619140625
899,6055.29052734375
900,3519.72021484375
901,0.0
902,4886.03125
903,6230.63427734375
904,4837.8603515625
905,5776.900390625
906,5271.5234375
907,3556.8271484375
908,0.0
909,9563.783203125
910,9431.072265625
911,8149.12109375
912,8417.806640625
913,6830.814453125
914,3403.28662109375
915,0.0
916,6419.458984375
917,5139.70703125
918,4904.08935546875
919,5620.31689453125
920,5350.4912109375
921,3423.374755859375
922,0.0
923,8915.2001953125
924,7715.50146484375
925,7201.84765625
926,8417.806640625
927,5957.9208984375
928,3403.28662109375
929,0.0
930,5920.63818359375
931,5147.44580078125
932,4717.5126953125
933,5570.09521484375
934,4509.3837890625
935,3423.374755859375
936,0.0
937,8025.67333984375
938,6086.1767578125
939,6209.93603515625
940,7961.54296875
941,7454.68017578125
