index,sales
792,6776.783694387518
793,8086.23173968594
794,6030.646013180119
795,3744.3463528141624
796,20.400000000000002
797,5676.841013481927
798,5517.711527913023
799,5066.42337899526
800,6181.192810949102
801,4768.420111951724
802,3365.435573766489
803,20.400000000000002
804,9750.905841385236
805,7850.872100960465
806,7134.727903360164
807,7803.310265317341
808,5922.887724980679
809,3063.868970733318
810,20.400000000000002
811,5848.070043917571
812,5432.390202575576
813,4780.56367637567
814,5320.206704961701
815,5023.22943133889
816,3407.25367901911
817,20.400000000000002
818,8066.515765593285
819,7390.805971190742
820,8317.875104832288
821,9990.953231996806
822,20.400000000000002
823,4429.1618753404755
824,20.400000000000002
825,20.400000000000002
826,6333.382051175163
827,5489.834696229069
828,6102.20978901487
829,5313.178023434536
830,3361.1703741648844
831,20.400000000000002
832,9240.20102647961
833,7842.920144991272
834,6767.588607904005
835,8041.457910513526
836,5729.997121863245
837,3247.530593898925
838,20.400000000000002
839,5807.586301415177
840,5850.488214664252
841,4533.170402382635
842,6066.9172427238245
843,4768.978092079262
844,3290.124820328095
845,20.400000000000002
846,9824.600903950486
847,8424.64062238704
848,7629.191818388253
849,9491.533786483526
850,20.400000000000002
851,4334.838066102325
852,20.400000000000002
853,10071.539502582375
854,7156.5057985690955
855,7312.790326347468
856,7603.487743749348
857,6382.312439478437
858,3686.743741703862
859,20.400000000000002
860,5695.294241876688
861,5808.798794500387
862,6178.123008188789
863,20.400000000000002
864,5480.737981962692
865,3003.741814324187
866,20.400000000000002
867,8905.039722681819
868,7288.4570963890355
869,7101.515539494222
870,7839.943447597634
871,6192.74477339388
872,3166.0155702779666
873,20.400000000000002
874,20.400000000000002
875,6230.40714059795
876,5322.907654257471
877,6001.944976495274
878,5909.66368087627
879,3875.1818283547314
880,20.400000000000002
881,9974.229443911168
882,7770.4431473775785
883,6931.8900940218855
884,8472.512301566874
885,6240.686307247145
886,3527.2355036284994
887,20.400000000000002
888,5945.571963290548
889,5364.761339369119
890,5085.595122040808
891,5817.688097047255
892,5407.275629909207
893,3315.2793465364803
894,20.400000000000002
895,9217.178606125015
896,8256.866667683977
897,7074.102817321796
898,7464.339861145603
899,6111.711164773448
900,3332.890295451419
901,20.400000000000002
902,4802.989837209666
903,5994.127058003798
904,4790.828142245324
905,5664.080071879522
906,5144.961473949662
907,3316.1807790485127
908,20.400000000000002
909,9345.43224989389
910,9243.094600669187
911,8356.831464822655
912,8498.895005220787
913,6832.200567227493
914,3435.6068950305307
915,20.400000000000002
916,6339.764240174714
917,5160.2324041417405
918,4872.112094840983
919,5564.595140778454
920,5473.214034551569
921,3491.6407295694626
922,20.400000000000002
923,9129.465456023252
924,7758.803580135482
925,7356.845590708558
926,8534.067252503022
927,6011.2783393256395
928,3525.5802417816367
929,20.400000000000002
930,5792.376446238451
931,5176.568746842182
932,4778.617539561596
933,5758.509177350315
934,4438.5717669905725
935,3271.0847051834703
936,20.400000000000002
937,8176.629001007806
938,6331.642801700655
939,6375.372072940301
940,7701.374998318648
941,7458.631201341212
